Date,Close
2021-02-26,106400
2021-03-01,106400
2021-03-02,103900
2021-03-03,103900
2021-03-04,103900
2021-03-05,102000
2021-03-08,102000
2021-03-09,102000
2021-03-10,102000
2021-03-11,99500
2021-03-12,99500
2021-03-15,107000
2021-03-16,107000
2021-03-17,107000
2021-03-18,106400
2021-03-19,106400
2021-03-22,106400
2021-03-23,106400
2021-03-24,106400
2021-03-25,107200
2021-03-26,107200
2021-03-29,106000
2021-03-30,106000
2021-03-31,106000
2021-04-01,102800
2021-04-02,104500
2021-04-05,106000
2021-04-06,106000
2021-04-07,104000
2021-04-08,104000
2021-04-09,104000
2021-04-12,104200
2021-04-13,104200
2021-04-14,104200
2021-04-15,102100
2021-04-16,102000
2021-04-19,102000
2021-04-20,102000
2021-04-21,102000
2021-04-22,102000
2021-04-23,103900
2021-04-26,104400
2021-04-27,104400
2021-04-28,104400
2021-04-29,104400
2021-04-30,104400
2021-05-03,104400
2021-05-04,104300
2021-05-05,104300
2021-05-06,104300
2021-05-07,104600
2021-05-10,105000
2021-05-11,105000
2021-05-12,105000
2021-05-13,105000
2021-05-14,105100
2021-05-17,105000
2021-05-18,105500
2021-05-19,105700
2021-05-20,107000
2021-05-21,108500
2021-05-24,109200
2021-05-25,109500
2021-05-26,109300
2021-05-27,112700
2021-05-28,112800
2021-05-31,111800
2021-06-01,111600
2021-06-02,111800
2021-06-03,111700
2021-06-04,112300
2021-06-07,112300
2021-06-08,111800
2021-06-09,111700
2021-06-10,111800
2021-06-11,111700
2021-06-14,111800
2021-06-15,111700
2021-06-16,111800
2021-06-17,111600
2021-06-18,111800
2021-06-21,109000
2021-06-22,108400
2021-06-23,108200
2021-06-24,108300
2021-06-25,108200
2021-06-28,108300
2021-06-29,109400
2021-06-30,109500
2021-07-01,108200
2021-07-02,108300
2021-07-05,108500
2021-07-06,108200
2021-07-07,108500
2021-07-08,109000
2021-07-09,109200
2021-07-12,109200
2021-07-13,109100
2021-07-14,109200
2021-07-15,109200
2021-07-16,109200
2021-07-19,109700
2021-07-20,109700
2021-07-23,109700
2021-07-26,109700
2021-07-27,110500
