End_Period,SBP,Banks,Total
2019-07-05,7083.6,7175.7,14259.3
2019-07-12,8001.3,7247.9,15249.2
2019-07-19,7611.9,7250.5,14862.4
2019-07-26,7767.0,7294.8,15061.8
2019-08-02,7729.1,7291.1,15020.2
2019-08-09,8264.4,7313.1,15577.5
2019-08-17,8238.7,7366.0,15604.7
2019-08-23,8271.1,7358.6,15629.7
2019-08-30,8279.5,7364.5,15644
2019-09-06,8462.3,7289.4,15751.699999999999
2019-09-13,8600.4,7297.7,15898.099999999999
2019-09-20,8465.3,7307.3,15772.599999999999
2019-09-27,7741.6,7262.1,15003.7
2019-10-04,7757.6,7235.3,14992.900000000001
2019-10-11,7813.7,7328.9,15142.599999999999
2019-10-18,7892.7,7293.8,15186.5
2019-10-25,7914.3,7175.4,15089.7
2019-11-01,8357.6,7160.3,15517.900000000001
2019-11-08,8397.3,7105.1,15502.4
2019-11-15,8442.1,7020.2,15462.3
2019-11-22,8682.3,6895.4,15577.699999999999
2019-11-29,9112.9,6880.3,15993.2
2019-12-06,9233.6,6814.5,16048.1
2019-12-13,10892.9,6762.6,17655.5
2019-12-20,10907.3,6687.9,17595.199999999997
2019-12-27,11489.4,6592.0,18081.4
2020-01-03,11503.7,6581.1,18084.800000000003
2020-01-10,11586.0,6537.6,18123.6
2020-01-17,11731.5,6539.5,18271
2020-01-24,11915.2,6447.5,18362.7
2020-01-31,12273.7,6370.8,18644.5
2020-02-07,12430.8,6304.6,18735.4
2020-02-14,12504.7,6242.4,18747.1
2020-02-21,12591.5,6151.3,18742.8
2020-02-28,12757.5,6111.5,18869
2020-03-06,12789.9,6114.7,18904.6
2020-03-13,12679.6,6063.4,18743
2020-03-20,11989.2,6115.9,18105.1
2020-03-27,11185.6,6201.9,17387.5
2020-04-03,10722.5,6265.7,16988.2
2020-04-10,10974.6,6320.9,17295.5
2020-04-17,10889.2,6411.1,17300.300000000003
2020-04-24,12070.3,6392.7,18463
2020-04-30,12329.4,6409.1,18738.5
2020-05-08,12270.7,6473.8,18744.5
2020-05-15,12129.3,6489.0,18618.3
2020-05-21,12073.9,6524.0,18597.9
2020-05-29,10362.1,6580.8,16942.9
2020-06-05,10095.8,6609.5,16705.3
2020-06-12,10107.1,6668.2,16775.3
2020-06-19,9961.2,6768.9,16730.1
2020-06-26,11231.0,6740.0,17971
2020-07-03,12041.6,6748.5,18790.1
2020-07-10,12054.9,6897.7,18952.6
2020-07-17,12121.6,6925.7,19047.3
2020-07-24,11975.6,6936.6,18912.2
2020-07-30,12542.2,7020.7,19562.9
2020-08-07,12469.3,7049.0,19518.3
2020-08-13,12608.4,7047.1,19655.5
2020-08-21,12640.8,7081.6,19722.4
2020-08-28,12712.7,7130.1,19842.800000000003
2020-09-04,12807.8,7153.5,19961.3
2020-09-11,12820.4,7138.6,19959
2020-09-18,12701.6,7202.1,19903.7
2020-09-25,12359.7,7175.1,19534.800000000003
2020-10-02,12154.7,7196.3,19351
2020-10-09,11798.4,7217.1,19015.467146369923
2020-10-16,12066.6,7235.0,19301.6
2020-10-23,12121.5,7175.0,19296.5
2020-11-06,12740.5,7166.4,19906.87173662002
2020-11-13,12931.2,7154.4,20085.6
2020-11-20,13415.5,7136.9,20552.4
2020-11-27,13110.9,7130.9,20241.8
2020-12-04,13298.5,7103.9,20402.4
2020-12-11,13298.8,7080.8,20379.6
2020-12-18,13216.2,7096.9,20313.1
2021-01-08,13400.0,7119.0,20519
2021-01-15,13013.8,7106.5,20120.3
2021-01-22,12998.4,7108.1,20106.5
2002-01-29,13031.2,7117.7,20148.9
2021-02-12,12889.7,7168.9,20058.6
2021-02-19,12908.7,7132.9,20041.6
2021-02-26,12978.4,7155.1,20133.5
2021-03-05,13016.1,7141.8,20157.9
2021-03-12,13019.7,7139.4,20159.1
2021-03-19,13295.0,7139.6,20434.6
2021-03-26,13673.0,7163.4,20836.4
2021-04-02,13527.2,7152.2,20679.4
2021-04-09,16106.4,7113.9,23220.3
2021-04-16,16043.9,7168.9,23212.8
2021-04-23,16427.8,7092.4,23520.199999999997
2002-04-30,15598.0,7091.8,22689.79282951162
2021-05-07,15774.5,7135.8,22910.3
2021-05-21,15862.0,7153.9,23015.9
2021-05-28,16133.6,7160.5,23294.1
2021-06-04,16414.9,7163.0,23577.9
2021-06-11,16417.3,7169.2,23586.5
2021-06-18,16106.1,7150.8,23256.9
2021-06-25,16119.4,7178.0,23297.4
2021-07-02,17231.1,7183.8,24414.899999999998
2021-07-09,17205.6,7106.5,24312.1
2021-07-16,18050.7,7077.3,25128
2021-07-23,17829.8,7045.7,24875.5
2002-07-30,17846.0,6930.9,24776.91232698133
2021-08-06,17622.7,7021.3,24644
2021-08-13,17625.9,7042.2,24668.100000000002
2021-08-20,17578.9,7040.4,24619.300000000003
2021-08-27,20145.6,7082.1,27227.699999999997
2021-09-03,20022.6,7080.0,27102.6
2021-09-10,20022.7,7042.2,27064.9
2021-09-17,19543.4,6859.2,26402.600000000002
2021-09-24,19294.5,6856.3,26150.8
2021-10-01,19169.1,6830.8,25999.899999999998
2021-10-08,19138.4,6831.0,25969.4
2021-10-15,17492.2,6835.2,24327.4
2021-10-22,17146.7,6787.1,23933.800000000003
2021-10-29,17199.6,6726.3,23925.899999999998
2021-11-05,17326.0,6699.5,24025.5
2021-11-12,16945.4,6605.2,23550.600000000002
2021-11-19,16254.1,6519.7,22773.8
2021-11-26,16010.3,6488.5,22498.8
2021-12-03,18658.2,6492.5,25150.7
2021-12-10,18568.3,6459.5,25027.8
2021-12-17,18153.7,6479.3,24633
2021-12-24,17855.3,6418.3,24273.6
